Time, Roger Waters, Pink Floyd,424,1973
,,,,
Speak To Me, Roger Waters, Pink Floyd,73,1973
Welcome To The Machine, Roger Waters, Pink Floyd,450,1975
The great Gig In The Sky, Roger Waters, Pink Floyd,288,1973
Stronger, Mike Dean, Kanye West,313,2007
Old Town Road, Atticus Matthew Ross, Lil Nas X,158,2019
Like a Rolling Stone, Bob Dylan, Bob Dylan,370,1965
Rap God, Eminem, Eminem ,370,2013
,,,,
Help!, John Lennon, The Beatles,140,1965
Smells Like Teen Spirit, Kurt Cobain, Nirvana,279,1991
Billie Jean, Michael Jackson, Michael Jackson,296,1982
Thriller, Rod Temperton, Michael Jackson,357,1984
Jailhouse Rock, Jerry Leiber, Elvis Presley,155,1957
,,,,
Paint It Black, Mick Jagger, The Rolling Stones,202,1966
